COMPANY_ID,RELATIONSHIP_ID,RELATIONSHIP_ORDER,TABLE_FROM,FIELD_FROM,TABLE_TO,FIELD_TO
ALL,ADDRESS_TYPE_COMPANY_FK,1,ADDRESS_TYPE,COMPANY_ID,COMPANY,COMPANY_ID
ALL,ADDRESS_TYPE_ID_FK,1,ADDRESS_TYPE,ADDRESS_TYPE_ID,ADDRESS_TYPE_ID,ADDRESS_TYPE_ID
ALL,ADDRESS_TYPE_LANGUAGE_FK,1,ADDRESS_TYPE,LANGUAGE_ID,LANGUAGE,LANGUAGE_ID
ALL,CITY_CITY_ID_FK,1,CITY,COUNTRY_ID,CITY_ID,COUNTRY_ID
ALL,CITY_CITY_ID_FK,2,CITY,PROVINCE_ID,CITY_ID,PROVINCE_ID
ALL,CITY_CITY_ID_FK,3,CITY,CITY_ID,CITY_ID,CITY_ID
ALL,CITY_COMPANY_FK,1,CITY,COMPANY_ID,COMPANY,COMPANY_ID
ALL,CITY_LANGUAGE_FK,1,CITY,LANGUAGE_ID,LANGUAGE,LANGUAGE_ID
ALL,CITY_ID_PROVINCE_ID_FK,1,CITY_ID,COUNTRY_ID,PROVINCE_ID,COUNTRY_ID
ALL,CITY_ID_PROVINCE_ID_FK,2,CITY_ID,PROVINCE_ID,PROVINCE_ID,PROVINCE_ID
ALL,CIVIL_STATUS_COMPANY_FK,1,CIVIL_STATUS,COMPANY_ID,COMPANY,COMPANY_ID
ALL,CIVIL_STATUS_ID_FK,1,CIVIL_STATUS,CIVIL_STATUS_ID,CIVIL_STATUS_ID,CIVIL_STATUS_ID
ALL,CIVIL_STATUS_LANGUAGE_FK,1,CIVIL_STATUS,LANGUAGE_ID,LANGUAGE,LANGUAGE_ID
ALL,COMPONENT_COMPANY_FK,1,COMPONENT,COMPANY_ID,COMPANY,COMPANY_ID
ALL,COMPONENT_ID_FK,1,COMPONENT,COMPONENT_ID,COMPONENT_ID,COMPONENT_ID
ALL,COMPONENT_SUBSYSTEM_ID_FK,1,COMPONENT,SUBSYSTEM_ID,SUBSYSTEM_ID,SUBSYSTEM_ID
ALL,COUNTRY_COMPANY_FK,1,COUNTRY,COMPANY_ID,COMPANY,COMPANY_ID
ALL,COUNTRY_COUNTRY_ID_FK,1,COUNTRY,COUNTRY_ID,COUNTRY_ID,COUNTRY_ID
