FK(I),COMPANY_ID,TABLE_ID,FIELD_ID,FIELD_ORDER,DATA_TYPE_ID,DATA_SIZE,DATA_SCALE,PRIMARY_KEY,UNIQUE_KEY,NULLABLE,DEFAULT_VALUE,SEQUENTIAL_ID,MINIMUN_VALUE,MAXIMUM_VALUE,DESCRIPTION
,ALL,CURRENCY,CURRENCY_ID,1,String,3,0,1,0,0,(null),(null),(null),(null),Currency
,ALL,CURRENCY,DESCRIPTION,2,String,50,0,0,0,0,(null),(null),(null),(null),Description
,ALL,CURRENCY,INITIALS,3,String,3,0,0,0,1,(null),(null),(null),(null),Initials

,ALL,SOLICITUDE_STATUS,STATUS_ID,1,String,3,0,1,0,0,(null),(null),(null),(null),Status
,ALL,SOLICITUDE_STATUS,DESCRIPTION,2,String,50,0,0,0,0,(null),(null),(null),(null),Description

,ALL,ACCOUNT_STATUS,STATUS_ID,1,String,3,0,1,0,0,(null),(null),(null),(null),Status
,ALL,ACCOUNT_STATUS,DESCRIPTION,2,String,50,0,0,0,0,(null),(null),(null),(null),Description

,ALL,QUOTA_TYPE,QUOTA_TYPE_ID,1,String,3,0,1,0,0,(null),(null),(null),(null),Fee type
,ALL,QUOTA_TYPE,DESCRIPTION,2,String,50,0,0,0,0,(null),(null),(null),(null),Description

,ALL,FREQUENCY,FREQUENCY_ID,1,String,3,0,1,0,0,(null),(null),(null),(null),Frecuency
,ALL,FREQUENCY,DESCRIPTION,2,String,50,0,0,0,0,(null),(null),(null),(null),Description

,ALL,FUNDS_DESTINATION,FUNDS_DESTINATION_ID,1,String,3,0,1,0,0,(null),(null),(null),(null),Destination of funds
,ALL,FUNDS_DESTINATION,DESCRIPTION,2,String,50,0,0,0,0,(null),(null),(null),(null),Description

,ALL,PRODUCT_MICROCREDIT,PRODUCT_ID,1,String,3,0,1,0,0,(null),(null),(null),(null),Product id
,ALL,PRODUCT_MICROCREDIT,DESCRIPTION,2,String,50,0,0,0,0,(null),(null),(null),(null),Description of product
1,ALL,PRODUCT_MICROCREDIT,CURRENCY_ID,3,String,3,0,0,0,0,(null),(null),(null),(null),Currency id
,ALL,PRODUCT_MICROCREDIT,MIN_AMOUNT,4,BigDecimal,19,6,0,0,0,(null),(null),(null),(null),Minimun amount
,ALL,PRODUCT_MICROCREDIT,MAX_AMOUNT,5,BigDecimal,19,6,0,0,0,(null),(null),(null),(null),Maximun amount
,ALL,PRODUCT_MICROCREDIT,MIN_PERIOD,6,Long,0,0,0,0,0,(null),(null),(null),(null),Minimun period
,ALL,PRODUCT_MICROCREDIT,MAX_PERIOD,7,Long,0,0,0,0,0,(null),(null),(null),(null),Maximun period
,ALL,PRODUCT_MICROCREDIT,RATE,8,BigDecimal,19,6,0,0,0,(null),(null),(null),(null),Rate

,ALL,GEOGRAPHIC_ZONE,GEOGRAPHIC_ZONE_ID,1,Integer,0,0,1,0,0,(null),GEOZONE,(null),(null),Geographic zone id
,ALL,GEOGRAPHIC_ZONE,DESCRIPTION,2,String,100,0,0,0,1,(null),(null),(null),(null),Description of the zone
1,ALL,GEOGRAPHIC_ZONE,COORDINATE_TYPE,3,String,20,0,0,0,0,(null),(null),(null),(null),"Type of coordinate: Point, Route, Polygon"
,ALL,GEOGRAPHIC_ZONE,P11,4,String,50,0,0,0,0,(null),(null),(null),(null),"Point of coordinate 1,1"
,ALL,GEOGRAPHIC_ZONE,P12,5,String,50,0,0,0,0,(null),(null),(null),(null),"Point of coordinate 1,2"
,ALL,GEOGRAPHIC_ZONE,P21,6,String,50,0,0,0,1,(null),(null),(null),(null),"Point of coordinate 2,1"
