COMPANY_ID,RELATIONSHIP_ID,RELATIONSHIP_ORDER,TABLE_FROM,FIELD_FROM,TABLE_TO,FIELD_TO
ALL,CITY_ID_PROVINCE_ID_FK,1,CITY_ID,COUNTRY_ID,PROVINCE_ID,COUNTRY_ID
ALL,CITY_ID_PROVINCE_ID_FK,2,CITY_ID,PROVINCE_ID,PROVINCE_ID,PROVINCE_ID
ALL,COMPONENT_COM_TYPE_ID_FK,1,COMPONENT,TYPE_ID,COMPONENT_TYPE,COMPONENT_TYPE_ID
ALL,COMPONENT_SUBSYSTEM_ID_FK,1,COMPONENT,SUBSYSTEM_ID,SUBSYSTEM_ID,SUBSYSTEM_ID
ALL,DATABASE_TYPE_DATA_TYPE_FK,1,DATABASE_TYPE,DATA_TYPE_ID,DATA_TYPE,DATA_TYPE_ID
ALL,DATAFILE_DATAFILE_TYPE_FK,1,DATAFILE,DATAFILE_TYPE_ID,DATAFILE_TYPE,DATAFILE_TYPE_ID
ALL,DISTRICT_ID_CITY_ID_FK,1,DISTRICT_ID,COUNTRY_ID,CITY_ID,COUNTRY_ID
ALL,DISTRICT_ID_CITY_ID_FK,2,DISTRICT_ID,PROVINCE_ID,CITY_ID,PROVINCE_ID
ALL,DISTRICT_ID_CITY_ID_FK,3,DISTRICT_ID,CITY_ID,CITY_ID,CITY_ID
ALL,ENTITY_FIELD_DATA_TYPE_FK,1,ENTITY_FIELD,DATA_TYPE_ID,DATA_TYPE,DATA_TYPE_ID
ALL,ENTITY_FIELD_SEQUENTIAL_ID_FK,1,ENTITY_FIELD,SEQUENTIAL_ID,SEQUENTIAL_ID,SEQUENTIAL_ID
ALL,ENTITY_FIELD_ID_TABLE_ID_FK,1,ENTITY_FIELD_ID,TABLE_ID,ENTITY_TABLE_ID,TABLE_ID
ALL,ENTITY_RELATIONSHIP_FROM_FK,1,ENTITY_RELATIONSHIP,TABLE_FROM,ENTITY_FIELD_ID,TABLE_ID
ALL,ENTITY_RELATIONSHIP_FROM_FK,2,ENTITY_RELATIONSHIP,FIELD_FROM,ENTITY_FIELD_ID,FIELD_ID
ALL,ENTITY_RELATIONSHIP_TO_FK,1,ENTITY_RELATIONSHIP,TABLE_TO,ENTITY_FIELD_ID,TABLE_ID
ALL,ENTITY_RELATIONSHIP_TO_FK,2,ENTITY_RELATIONSHIP,FIELD_TO,ENTITY_FIELD_ID,FIELD_ID
ALL,HOST_CHANNEL_ID_FK,1,HOST,CHANNEL_ID,CHANNEL,CHANNEL_ID
ALL,MODULE_ID_SUBSYSTEM_ID_FK,1,MODULE_ID,SUBSYSTEM_ID,SUBSYSTEM_ID,SUBSYSTEM_ID
ALL,PARAMETER_DATA_TYPE_FK,1,PARAMETER,DATA_TYPE_ID,DATA_TYPE,DATA_TYPE_ID
ALL,PERSON_CITY_ID_FK,1,PERSON,COUNTRY_ID,CITY_ID,COUNTRY_ID
ALL,PERSON_CITY_ID_FK,2,PERSON,PROVINCE_ID,CITY_ID,PROVINCE_ID
ALL,PERSON_CITY_ID_FK,3,PERSON,CITY_ID,CITY_ID,CITY_ID
ALL,PERSON_CIVIL_STATUS_ID_FK,1,PERSON,CIVIL_STATUS_ID,CIVIL_STATUS_ID,CIVIL_STATUS_ID
ALL,PERSON_GENDER_TYPE_ID_FK,1,PERSON,GENDER_TYPE_ID,GENDER_TYPE_ID,GENDER_TYPE_ID
ALL,PERSON_IDENTIF_TYPE_ID_FK,1,PERSON,IDENTIFICATION_TYPE_ID,IDENTIFICATION_TYPE_ID,IDENTIFICATION_TYPE_ID
ALL,PERSON_PROFESSION_TYPE_ID_FK,1,PERSON,PROFESSION_TYPE_ID,PROFESSION_TYPE_ID,PROFESSION_TYPE_ID
ALL,PERSON_ADDRESS_DISTRICT_ID_FK,1,PERSON_ADDRESS,COUNTRY_ID,DISTRICT_ID,COUNTRY_ID
ALL,PERSON_ADDRESS_DISTRICT_ID_FK,2,PERSON_ADDRESS,PROVINCE_ID,DISTRICT_ID,PROVINCE_ID
ALL,PERSON_ADDRESS_DISTRICT_ID_FK,3,PERSON_ADDRESS,CITY_ID,DISTRICT_ID,CITY_ID
ALL,PERSON_ADDRESS_DISTRICT_ID_FK,4,PERSON_ADDRESS,DISTRICT_ID,DISTRICT_ID,DISTRICT_ID
ALL,PROCESS_DATAFILE_ID_FK,1,PROCESS,DATAFILE_ID,DATAFILE_ID,DATAFILE_ID
ALL,PROCESS_COMP_COMPONENT_ID_FK,1,PROCESS_COMPONENT,COMPONENT_ID,COMPONENT_ID,COMPONENT_ID
ALL,PROCESS_COMP_COMPONENT_ID_FK,2,PROCESS_COMPONENT,TYPE_ID,COMPONENT_ID,TYPE_ID
ALL,PROCESS_COMP_PROCESS_ID_FK,1,PROCESS_COMPONENT,SUBSYSTEM_ID,PROCESS_ID,SUBSYSTEM_ID
ALL,PROCESS_COMP_PROCESS_ID_FK,2,PROCESS_COMPONENT,MODULE_ID,PROCESS_ID,MODULE_ID
ALL,PROCESS_COMP_PROCESS_ID_FK,3,PROCESS_COMPONENT,PROCESS_ID,PROCESS_ID,PROCESS_ID
ALL,PROCESS_ID_MODULE_ID_FK,1,PROCESS_ID,SUBSYSTEM_ID,MODULE_ID,SUBSYSTEM_ID
ALL,PROCESS_ID_MODULE_ID_FK,2,PROCESS_ID,MODULE_ID,MODULE_ID,MODULE_ID
